Fecha,Año,Mes,Nombre_Mes,Trimestre,Dia_Semana,Nombre_Dia,Semana_Año,Es_Fin_Semana
2023-05-29,2023,5,May,Q2,1,Monday,22,0
2023-05-30,2023,5,May,Q2,2,Tuesday,22,0
2023-05-31,2023,5,May,Q2,3,Wednesday,22,0
2023-06-01,2023,6,June,Q2,4,Thursday,22,0
2023-06-02,2023,6,June,Q2,5,Friday,22,0
2023-06-03,2023,6,June,Q2,6,Saturday,22,1
2023-06-04,2023,6,June,Q2,7,Sunday,22,1
2023-06-05,2023,6,June,Q2,1,Monday,23,0
2023-06-06,2023,6,June,Q2,2,Tuesday,23,0
2023-06-07,2023,6,June,Q2,3,Wednesday,23,0
2023-06-08,2023,6,June,Q2,4,Thursday,23,0
2023-06-09,2023,6,June,Q2,5,Friday,23,0
2023-06-10,2023,6,June,Q2,6,Saturday,23,1
2023-06-11,2023,6,June,Q2,7,Sunday,23,1
2023-06-12,2023,6,June,Q2,1,Monday,24,0
2023-06-13,2023,6,June,Q2,2,Tuesday,24,0
2023-06-14,2023,6,June,Q2,3,Wednesday,24,0
2023-06-15,2023,6,June,Q2,4,Thursday,24,0
2023-06-16,2023,6,June,Q2,5,Friday,24,0
2023-06-17,2023,6,June,Q2,6,Saturday,24,1
2023-06-18,2023,6,June,Q2,7,Sunday,24,1
2023-06-19,2023,6,June,Q2,1,Monday,25,0
2023-06-20,2023,6,June,Q2,2,Tuesday,25,0
2023-06-21,2023,6,June,Q2,3,Wednesday,25,0
2023-06-22,2023,6,June,Q2,4,Thursday,25,0
2023-06-23,2023,6,June,Q2,5,Friday,25,0
2023-06-24,2023,6,June,Q2,6,Saturday,25,1
2023-06-25,2023,6,June,Q2,7,Sunday,25,1
2023-06-26,2023,6,June,Q2,1,Monday,26,0
2023-06-27,2023,6,June,Q2,2,Tuesday,26,0
2023-06-28,2023,6,June,Q2,3,Wednesday,26,0
2023-06-29,2023,6,June,Q2,4,Thursday,26,0
2023-06-30,2023,6,June,Q2,5,Friday,26,0
2023-07-01,2023,7,July,Q3,6,Saturday,26,1
2023-07-02,2023,7,July,Q3,7,Sunday,26,1
2023-07-03,2023,7,July,Q3,1,Monday,27,0
2023-07-04,2023,7,July,Q3,2,Tuesday,27,0
